,F,D
2019-09-14_11-54-26_,14.860099206808906,4355721.277278428
2019-09-14_12-08-55_,14.712180832360044,34518.546708199996
2019-09-14_12-28-47_,14.977331374723624,179.89136932870747
2019-09-14_12-41-40_,14.977342980441845,177.08047436498492
2019-09-14_12-47-48_,14.977339851834067,177.22597651296505
2019-09-14_12-53-39_,14.977337775340931,177.40426098508956
2019-09-14_12-59-29_,14.97733667518344,177.01020017047944
2019-09-14_13-05-19_,14.977337396350093,176.8319186977969
2019-09-14_13-11-08_,14.977336662506119,176.53798389888294
2019-09-14_13-16-58_,14.977335549495969,176.5875357370648
2019-09-14_13-22-51_,14.977334932698817,177.70288988133987
2019-09-14_13-28-41_,14.97733432963334,177.3625980368898
2019-09-14_13-34-31_,14.97733563865777,177.14951363882784
2019-09-14_13-40-21_,14.977335974232973,177.2573958008042
2019-09-14_13-46-11_,14.977336075053188,177.12186869359306
2019-09-14_13-52-02_,14.977302151128685,177.3281748874981
2019-09-14_13-57-52_,14.97728308536033,178.59460867113376
2019-09-14_14-03-42_,14.977280979160978,178.5880351310166
2019-09-14_14-09-32_,14.977278845116468,179.09798534373436
2019-09-14_14-15-23_,14.977275868162453,179.77843760188483
2019-09-14_14-21-13_,14.977273207712278,179.09124817621927
2019-09-14_14-27-03_,14.977270785984434,179.30478548324902
2019-09-14_14-32-53_,14.97726811868457,178.98679126116625
2019-09-14_14-38-43_,14.977266513428612,179.66525452594635
2019-09-14_14-44-34_,14.977264933157079,179.38810397991608
2019-09-14_14-50-26_,14.977264096374403,180.59463100806641
2019-09-14_14-56-16_,14.977263444610617,180.51931913693804
2019-09-14_15-02-08_,14.977262649477355,180.1318825597292
2019-09-14_15-08-00_,14.977262894003442,179.9081306589089
2019-09-14_15-13-54_,14.977261414309952,180.4646656147149
2019-09-14_15-19-44_,14.977260452438117,179.8843175203446
2019-09-14_15-25-36_,14.977259640170114,179.71574510217943
2019-09-14_15-31-28_,14.977258626118974,179.37718244115612
2019-09-14_15-37-20_,14.977257912372854,179.7779653079935
2019-09-14_15-43-13_,14.977258373980762,179.92592275717206
2019-09-14_15-49-03_,14.977257267747195,180.03189820351247
2019-09-14_15-54-55_,14.977257053191803,180.07641154710532
2019-09-14_16-00-45_,14.977256212540295,180.7255783697229
2019-09-14_16-06-37_,14.977255848742816,180.55958705219504
2019-09-14_16-12-30_,14.977258075868198,180.42619203523768
2019-09-14_16-18-22_,14.977257785146804,180.30388982302765
2019-09-14_16-24-14_,14.977261331765447,180.50264518542397
2019-09-14_16-30-06_,14.977263399126462,180.34763302716738
2019-09-14_16-35-58_,14.977263771032103,179.67867024633384
2019-09-14_16-41-51_,14.977263577920132,180.18463128255092
2019-09-14_16-47-43_,14.977263887617411,180.32419085580932
2019-09-14_16-53-35_,14.977265908244648,179.38509710073578
2019-09-14_16-59-29_,14.977267453486531,179.98954772757207
2019-09-14_17-05-23_,14.977268780478337,180.08170291268675
2019-09-14_17-11-16_,14.977269236393072,180.46019300620992
2019-09-14_17-17-08_,14.977269640726984,180.19784520430684
2019-09-14_17-23-02_,14.977270386931863,180.07885206535633
2019-09-14_17-28-56_,14.977271221861352,179.98058420699758
2019-09-14_17-34-48_,14.97727114160283,180.12869492338075
2019-09-14_17-40-41_,14.977271845367866,180.77488895212016
2019-09-14_17-46-33_,14.977272101202317,179.9875966909545
2019-09-14_17-52-27_,14.977272474443613,180.1350744366499
2019-09-14_17-58-21_,14.977273120641946,180.6923543358523
2019-09-14_18-04-15_,14.977273419158186,180.80501542839443
2019-09-14_18-10-10_,14.977274011608486,180.55203887740785
2019-09-14_18-16-02_,14.977274492164181,180.30272657304727
2019-09-14_18-21-56_,14.977274581275333,180.35842643223725
2019-09-14_18-27-50_,14.977274887054948,180.5304499943975
2019-09-14_18-33-44_,14.977274862362034,179.98489874597485
2019-09-14_18-39-39_,14.97727447739815,180.4382054164993
2019-09-14_18-45-33_,14.97727525367428,181.13429686746946
2019-09-14_18-51-27_,14.977274888736034,180.85589095125664
2019-09-14_18-57-21_,14.977282196252657,182.46207716491946
2019-09-14_19-03-16_,14.977281104610128,180.46179274987827
2019-09-14_19-09-10_,14.97728154929065,180.1265830940549
2019-09-14_19-15-04_,14.977280775406589,180.5517827736738
2019-09-14_19-20-58_,14.977278858464084,180.8765092179494
2019-09-14_19-26-53_,14.977273434161388,180.40502563026632
2019-09-14_19-32-49_,14.977269745091851,181.23026669122677
2019-09-14_19-38-43_,14.977261265430059,181.79697727614118
2019-09-14_19-44-39_,14.977255045631512,181.57736201550983
2019-09-14_19-50-33_,14.97725069995072,182.217440515143
2019-09-14_19-56-28_,14.977247653335372,182.0235022122351
2019-09-14_20-02-24_,14.977244563837054,181.8573983451605
2019-09-14_20-08-18_,14.977242403025839,181.69619080403103
2019-09-14_20-14-12_,14.977239803739408,181.85382959349715
2019-09-14_20-20-08_,14.9772381074811,182.1750384668057
2019-09-14_20-26-03_,14.977237979796017,182.5304292024903
2019-09-14_20-31-59_,14.977235700241058,182.38110853648766
2019-09-14_20-37-53_,14.977234079093114,182.37430592607396
